model,train_acc,test_acc,test_acc_std,test_f1,test_f1_std,overfit_gap,diagnosis
Gradient Boosting,0.6651627358149097,0.4387860142025116,0.014865529108729139,0.4380944366062659,0.014254494189561887,0.22637672161239808,HIGH BIAS (underfitting)
Random Forest,0.9903665175404306,0.4052262920609121,0.01931925912934196,0.403753749231661,0.019899225883870705,0.5851402254795185,HIGH BIAS (underfitting)
Decision Tree,0.9903665175404306,0.38906948394961394,0.02213409636801976,0.38842290270499824,0.022384890929330322,0.6012970335908167,HIGH BIAS (underfitting)
SVM (RBF),0.48415425154555586,0.3990073721483717,0.0033481205137187615,0.3829421776966818,0.009966640825364659,0.08514687939718418,HIGH BIAS (underfitting)
KNN (k=5),0.5779988127814215,0.3971594976877382,0.02268563626902508,0.38215617840414007,0.02289424473740132,0.18083931509368328,HIGH BIAS (underfitting)
Logistic Regression,0.41174670739888136,0.3946518062730984,0.013362244952462469,0.3807881015535087,0.014180318364883374,0.017094901125782935,HIGH BIAS (underfitting)
