model,cv_train_acc,cv_f1,cv_f1_std,val_f1,val_acc,gap,diagnosis
KNN (k=5),0.8417944017533415,0.7368165860695804,0.017057313763840006,0.7514059739372773,0.7709251101321586,0.07727573450784553,good fit
Decision Tree,0.9788450741382111,0.7412853261306844,0.00881431775898039,0.7455708063648511,0.7466960352422908,0.24226758336330334,HIGH VARIANCE
Gradient Boosting,0.869388731803669,0.732085304736833,0.012032320641187458,0.7389478522480362,0.7841409691629956,0.08647143204243624,good fit
Random Forest,0.9788450741382111,0.7416942122210604,0.01920118510208453,0.7331311196253725,0.7400881057268722,0.22755627448550875,HIGH VARIANCE
Logistic Regression,0.8130978069700742,0.6999212623125667,0.00029628646250556866,0.7,0.8127753303964758,8.892361910151081e-07,good fit
SVM (RBF),0.8130978069700742,0.6999212623125667,0.00029628646250556866,0.7,0.8127753303964758,8.892361910151081e-07,good fit
